Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0535000320,350154,Hospital La Paloma,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle Maestro Valle 20,35005,928234466,108,Hospitales Generales,Privados,,Concierto parcial,NO
0535000321,350206,Hospital Perpetuo Socorro,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle León y Castillo 407,35007,928499900,195,Hospitales Generales,Privados,,Concierto parcial,NO
0535000322,350304,Hospiten Clínica Roca San Agustín,Canarias,Las Palmas,San Bartolomé de Tirajana,Calle Buganvilla 1,35100,928769004,81,Hospitales Generales,Privados,,Sin concierto,NO
0535000323,350115,Hospital San José,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle Padre Cueto 26,35008,928263708,66,Hospitales Generales,Privados,,Concierto parcial,NO
0535000324,350120,Hospital Universitario Vithas Las Palmas,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle León y Castillo 292,35005,928297151,157,Hospitales Generales,Privados,,Concierto parcial,SI
0535000463,350326,Hospiten Lanzarote,Canarias,Las Palmas,Tías,Camino Lomo Gordo S/N,35572,928596100,61,Hospitales Generales,Privados,,Concierto parcial,NO
0535000688,350265,Quinta Medica de Reposo,Canarias,Las Palmas,Santa Brígida,Camino Palma Romero 7,35300,928640050,60,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0535001243,350367,Hospital Universitario San Roque Maspalomas,Canarias,Las Palmas,San Bartolomé de Tirajana,Calle Mar de Siberia 1,35100,928063615,147,Hospitales Generales,Privados,,Concierto parcial,SI
0535001314,350173,Hospital Universitario San Roque Las Palmas,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle Dolores de La Rocha 5,35001,928404040,162,Hospitales Generales,Privados,,Concierto parcial,SI
0535001524,350389,Hospital Parque Fuerteventura,Canarias,Las Palmas,Puerto del Rosario,Calle León y Castillo S/N,35600,928851500,22,Otros Centros con Internamiento,Privados,,Sin concierto,NO
0535001550,350192,Clínica Bandama,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle Santa Teresa 9,35017,928350050;928350054,64,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,NO
0535001830,350311,Hospital Universitario de Gran Canaria Dr. Negrín,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Plaza Barranco de La Ballena S/N,35012,928450000,652,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0535001838,350290,Complejo Hospitalario Universitario Insular Materno Infantil,Canarias,Las Palmas,"Palmas de Gran Canaria, Las",Calle Autovía del Sur S/N,35016,928444000,916,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0535001908,350252,Hospital General de Fuerteventura,Canarias,Las Palmas,Puerto del Rosario,Calle Carretera Aeropuerto KM 1,35600,928862000,131,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
